Data;IPP;Data_Original
15/01/2010;0.0;15/12/2009
15/02/2010;26.26;15/1/2010
15/03/2010;27.08;15/2/2010
15/04/2010;2.2000000000000006;15/3/2010
15/05/2010;16.62;15/4/2010
15/06/2010;24.86;15/5/2010
15/07/2010;9.05;15/6/2010
15/08/2010;-1.6600000000000004;15/7/2010
15/09/2010;7.449999999999998;15/8/2010
15/10/2010;-1.3900000000000017;15/9/2010
15/11/2010;14.260000000000002;15/10/2010
15/12/2010;18.46;15/11/2010
15/01/2011;7.900000000000005;15/12/2010
15/02/2011;4.869999999999999;15/1/2011
15/03/2011;15.909999999999991;15/2/2011
15/04/2011;12.77;15/3/2011
15/05/2011;4.41;15/4/2011
15/06/2011;-4.3900000000000015;15/5/2011
15/07/2011;-15.229999999999997;15/6/2011
15/08/2011;-4.609999999999998;15/7/2011
15/09/2011;0.3200000000000008;15/8/2011
15/10/2011;30.890000000000004;15/9/2011
15/11/2011;13.45;15/10/2011
15/12/2011;8.519999999999996;15/11/2011
15/01/2012;0.26;15/12/2011
15/02/2012;-8.93;15/1/2012
15/03/2012;-2.2300000000000004;15/2/2012
15/04/2012;24.84;15/3/2012
15/05/2012;33.010000000000005;15/4/2012
15/06/2012;33.57;15/5/2012
15/07/2012;23.05;15/6/2012
15/08/2012;6.560000000000001;15/7/2012
15/09/2012;6.089999999999999;15/8/2012
15/10/2012;13.659999999999998;15/9/2012
15/11/2012;5.790000000000001;15/10/2012
15/12/2012;5.990000000000002;15/11/2012
15/01/2013;8.64;15/12/2012
15/02/2013;-1.5700000000000007;15/1/2013
15/03/2013;-0.009999999999998;15/2/2013
15/04/2013;5.9799999999999995;15/3/2013
15/05/2013;11.88;15/4/2013
15/06/2013;9.410000000000002;15/5/2013
15/07/2013;28.84;15/6/2013
15/08/2013;18.420000000000005;15/7/2013
15/09/2013;27.2;15/8/2013
15/10/2013;0.2900000000000004;15/9/2013
15/11/2013;-6.630000000000001;15/10/2013
15/12/2013;21.82;15/11/2013
15/01/2014;9.449999999999998;15/12/2013
15/02/2014;41.81999999999999;15/1/2014
15/03/2014;7.400000000000001;15/2/2014
15/04/2014;-8.17;15/3/2014
15/05/2014;-22.47000000000001;15/4/2014
15/06/2014;2.56;15/5/2014
15/07/2014;-5.340000000000005;15/6/2014
15/08/2014;-14.769999999999998;15/7/2014
15/09/2014;12.090000000000002;15/8/2014
15/10/2014;24.6;15/9/2014
15/11/2014;14.65;15/10/2014
15/12/2014;22.09;15/11/2014
15/01/2015;8.82;15/12/2014
15/02/2015;-3.53;15/1/2015
15/03/2015;42.330000000000005;15/2/2015
15/04/2015;56.04;15/3/2015
15/05/2015;3.030000000000002;15/4/2015
15/06/2015;6.43;15/5/2015
15/07/2015;9.34;15/6/2015
15/08/2015;16.52;15/7/2015
15/09/2015;31.22000000000001;15/8/2015
15/10/2015;70.26;15/9/2015
15/11/2015;33.17;15/10/2015
15/12/2015;-14.2;15/11/2015
15/01/2016;-6.920000000000002;15/12/2015
15/02/2016;13.2;15/1/2016
15/03/2016;-8.900000000000002;15/2/2016
15/04/2016;-21.71;15/3/2016
15/05/2016;7.38;15/4/2016
15/06/2016;17.65;15/5/2016
15/07/2016;-7.98;15/6/2016
15/08/2016;-26.12;15/7/2016
15/09/2016;-2.78;15/8/2016
15/10/2016;11.279999999999998;15/9/2016
15/11/2016;0.4400000000000012;15/10/2016
15/12/2016;25.56;15/11/2016
15/01/2017;32.690000000000005;15/12/2016
15/02/2017;-3.7800000000000025;15/1/2017
15/03/2017;-9.010000000000003;15/2/2017
15/04/2017;12.45;15/3/2017
15/05/2017;-0.2699999999999995;15/4/2017
15/06/2017;2.3299999999999983;15/5/2017
15/07/2017;-1.9400000000000008;15/6/2017
15/08/2017;-20.05;15/7/2017
15/09/2017;12.739999999999998;15/8/2017
15/10/2017;35.62;15/9/2017
15/11/2017;37.72;15/10/2017
15/12/2017;24.489999999999995;15/11/2017
15/01/2018;9.88;15/12/2017
15/02/2018;4.210000000000001;15/1/2018
15/03/2018;14.7;15/2/2018
15/04/2018;21.38;15/3/2018
15/05/2018;33.75;15/4/2018
15/06/2018;52.31000000000002;15/5/2018
15/07/2018;39.760000000000005;15/6/2018
15/08/2018;25.680000000000007;15/7/2018
15/09/2018;31.20000000000001;15/8/2018
15/10/2018;57.870000000000005;15/9/2018
15/11/2018;-30.500000000000004;15/10/2018
15/12/2018;-11.480000000000004;15/11/2018
15/01/2019;-18.83;15/12/2018
15/02/2019;-16.080000000000002;15/1/2019
15/03/2019;11.979999999999997;15/2/2019
15/04/2019;35.72;15/3/2019
15/05/2019;24.15;15/4/2019
15/06/2019;27.090000000000003;15/5/2019
15/07/2019;-23.86;15/6/2019
15/08/2019;-20.870000000000005;15/7/2019
15/09/2019;24.64;15/8/2019
15/10/2019;7.19;15/9/2019
15/11/2019;0.8100000000000002;15/10/2019
15/12/2019;11.24;15/11/2019
15/01/2020;0.1999999999999993;15/12/2019
15/02/2020;17.57;15/1/2020
15/03/2020;28.86;15/2/2020
15/04/2020;37.39000000000001;15/3/2020
15/05/2020;31.23;15/4/2020
15/06/2020;25.43;15/5/2020
15/07/2020;1.2200000000000002;15/6/2020
15/08/2020;62.17;15/7/2020
15/09/2020;67.62;15/8/2020
15/10/2020;45.25;15/9/2020
15/11/2020;69.44;15/10/2020
15/12/2020;26.81;15/11/2020
15/01/2021;11.81;15/12/2020
15/02/2021;86.63;15/1/2021
15/03/2021;106.91;15/2/2021
15/04/2021;102.69;15/3/2021
15/05/2021;52.25000000000001;15/4/2021
15/06/2021;17.580000000000005;15/5/2021
15/07/2021;30.670000000000005;15/6/2021
15/08/2021;40.66;15/7/2021
15/09/2021;43.720000000000006;15/8/2021
15/10/2021;12.639999999999995;15/9/2021
15/11/2021;47.36000000000001;15/10/2021
15/12/2021;29.99;15/11/2021
15/01/2022;4.400000000000004;15/12/2021
15/02/2022;35.79;15/1/2022
15/03/2022;6.07;15/2/2022
15/04/2022;40.91;15/3/2022
15/05/2022;33.33;15/4/2022
15/06/2022;53.27;15/5/2022
15/07/2022;17.2;15/6/2022
15/08/2022;29.939999999999998;15/7/2022
15/09/2022;-43.91;15/8/2022
15/10/2022;-9.05;15/9/2022
15/11/2022;-11.28;15/10/2022
15/12/2022;-4.77;15/11/2022
15/01/2023;-22.020000000000003;15/12/2022
15/02/2023;11.470000000000002;15/1/2023
15/03/2023;6.809999999999998;15/2/2023
15/04/2023;-5.75;15/3/2023
15/05/2023;-10.23;15/4/2023
15/06/2023;-53.16;15/5/2023
