Data;Agropecuária - total
15/01/2008;42413
15/01/2008;43289
15/07/2008;34035
15/10/2008;22315
15/01/2009;41178
15/01/2009;40931
15/07/2009;37986
15/10/2009;29117
15/01/2010;43763
15/01/2010;40362
15/07/2010;41884
15/10/2010;33923
15/01/2011;53738
15/01/2011;53828
15/07/2011;48551
15/10/2011;33907
15/01/2012;54310
15/01/2012;55518
15/07/2012;51699
15/10/2012;39168
15/01/2013;70383
15/01/2013;65606
15/07/2013;58678
15/10/2013;45623
15/01/2014;74134
15/01/2014;72795
15/07/2014;58876
15/10/2014;44170
15/01/2015;78591
15/01/2015;72124
15/07/2015;61128
15/10/2015;47125
15/01/2016;87716
15/01/2016;88591
15/07/2016;76304
15/10/2016;54043
15/01/2017;97859
15/01/2017;84375
15/07/2017;70407
15/10/2017;50330
15/01/2018;97872
15/01/2018;95240
15/07/2018;66373
15/10/2018;50126
15/01/2019;94216
15/01/2019;83112
15/07/2019;75671
15/10/2019;57715
15/01/2020;127526
15/01/2020;128182
15/07/2020;102686
15/10/2020;81692
15/01/2021;213706
15/01/2021;179781
15/07/2021;123657
15/10/2021;80985
15/01/2022;183635
15/01/2022;167717
