Data;CN_Br_AdmSaudEdu
15/01/2008;94335
15/04/2008;104315
15/07/2008;104415
15/10/2008;131158
15/01/2009;113420
15/04/2009;114139
15/07/2009;116227
15/10/2009;143394
15/01/2010;121078
15/04/2010;126519
15/07/2010;128579
15/10/2010;161669
15/01/2011;132557
15/04/2011;145815
15/07/2011;143785
15/10/2011;175903
15/01/2012;144680
15/04/2012;159298
15/07/2012;155248
15/10/2012;192875
15/01/2013;165019
15/04/2013;184790
15/07/2013;177138
15/10/2013;219240
15/01/2014;186038
15/04/2014;199158
15/07/2014;197865
15/10/2014;233747
15/01/2015;202884
15/04/2015;217368
15/07/2015;210603
15/10/2015;254731
15/01/2016;213924
15/04/2016;230143
15/07/2016;223186
15/10/2016;277868
15/01/2017;234102
15/04/2017;253411
15/07/2017;236946
15/10/2017;276516
15/01/2018;243713
15/04/2018;255625
15/07/2018;250408
15/10/2018;295640
15/01/2019;257453
15/04/2019;273243
15/07/2019;263106
15/10/2019;312289
15/01/2020;267351
15/04/2020;285178
15/07/2020;272927
15/10/2020;330574
15/01/2021;276853
15/04/2021;301048
15/07/2021;293371
15/10/2021;346480
15/01/2022;291064
15/04/2022;319477
