Data;CN_Br_Contruc
15/01/2008;25875
15/04/2008;27854
15/07/2008;30725
15/10/2008;30348
15/01/2009;30846
15/04/2009;36320
15/07/2009;42573
15/10/2009;44885
15/01/2010;44725
15/04/2010;51397
15/07/2010;54980
15/10/2010;55824
15/01/2011;52706
15/04/2011;57420
15/07/2011;61174
15/10/2011;62243
15/01/2012;61617
15/04/2012;64284
15/07/2012;70045
15/10/2012;69291
15/01/2013;68075
15/04/2013;73382
15/07/2013;76610
15/10/2013;72575
15/01/2014;76140
15/04/2014;76021
15/07/2014;76008
15/10/2014;78777
15/01/2015;73650
15/04/2015;71375
15/07/2015;76556
15/10/2015;74436
15/01/2016;68334
15/04/2016;69009
15/07/2016;70765
15/10/2016;67079
15/01/2017;61722
15/04/2017;59890
15/07/2017;61096
15/10/2017;62093
15/01/2018;59766
15/04/2018;59776
15/07/2018;61665
15/10/2018;62072
15/01/2019;59063
15/04/2019;62464
15/07/2019;66227
15/10/2019;60889
15/01/2020;56459
15/04/2020;51934
15/07/2020;55881
15/10/2020;51913
15/01/2021;47507
15/04/2021;45926
15/07/2021;49379
15/10/2021;48523
15/01/2022;46869
15/04/2022;49520
