Data;CN_Br_DespAdm
15/01/2008;128394
15/04/2008;139783
15/07/2008;144805
15/10/2008;172887
15/01/2009;150521
15/04/2009;150885
15/07/2009;157480
15/10/2009;196078
15/01/2010;163726
15/04/2010;172803
15/07/2010;179940
15/10/2010;222498
15/01/2011;177786
15/04/2011;199020
15/07/2011;199027
15/10/2011;241205
15/01/2012;194540
15/04/2012;215509
15/07/2012;215553
15/10/2012;266578
15/01/2013;214488
15/04/2013;247033
15/07/2013;244366
15/10/2013;301388
15/01/2014;244484
15/04/2014;269158
15/07/2014;272878
15/10/2014;320353
15/01/2015;266314
15/04/2015;290177
15/07/2015;287922
15/10/2015;341363
15/01/2016;284757
15/04/2016;312112
15/07/2016;303264
15/10/2016;377512
15/01/2017;302779
15/04/2017;333520
15/07/2017;314360
15/10/2017;377099
15/01/2018;315342
15/04/2018;342733
15/07/2018;338344
15/10/2018;397060
15/01/2019;332121
15/04/2019;366718
15/07/2019;357159
15/10/2019;420615
15/01/2020;343685
15/04/2020;381301
15/07/2020;366388
15/10/2020;437939
15/01/2021;358776
15/04/2021;407944
15/07/2021;406193
15/10/2021;484488
15/01/2022;381592
15/04/2022;440452
