Data;CN_Br_ExportBens
15/01/2008;80459
15/04/2008;98393
15/07/2008;115435
15/10/2008;126594
15/01/2009;87415
15/04/2009;93900
15/07/2009;92906
15/10/2009;87460
15/01/2010;86801
15/04/2010;105294
15/07/2010;114225
15/10/2010;115900
15/01/2011;103744
15/04/2011;124993
15/07/2011;137086
15/10/2011;141072
15/01/2012;119043
15/04/2012;146496
15/07/2012;153303
15/10/2012;153034
15/01/2013;125321
15/04/2013;156293
15/07/2013;169810
15/10/2013;174627
15/01/2014;144492
15/04/2014;162059
15/07/2014;171655
15/10/2014;158169
15/01/2015;153346
15/04/2015;189848
15/07/2015;212638
15/10/2015;217635
15/01/2016;195363
15/04/2016;208109
15/07/2016;192894
15/10/2016;185211
15/01/2017;192345
15/04/2017;216289
15/07/2017;210483
15/10/2017;205316
15/01/2018;212281
15/04/2018;248761
15/07/2018;288212
15/10/2018;275802
15/01/2019;230603
15/04/2019;263438
15/07/2019;278699
15/10/2019;270821
15/01/2020;260664
15/04/2020;323032
15/07/2020;335336
15/10/2020;335160
15/01/2021;359641
15/04/2021;483585
15/07/2021;461229
15/10/2021;439887
15/01/2022;439928
15/04/2022;510745
