Data;CN_Br_IndExt
15/01/2008;18051
15/04/2008;21447
15/07/2008;30534
15/10/2008;30256
15/01/2009;17837
15/04/2009;11596
15/07/2009;14240
15/10/2009;19032
15/01/2010;20679
15/04/2010;26878
15/07/2010;31516
15/10/2010;30892
15/01/2011;32700
15/04/2011;39582
15/07/2011;42123
15/10/2011;48162
15/01/2012;42077
15/04/2012;48821
15/07/2012;48238
15/10/2012;47054
15/01/2013;42343
15/04/2013;45259
15/07/2013;50421
15/10/2013;51411
15/01/2014;48460
15/04/2014;45444
15/07/2014;46264
15/10/2014;44629
15/01/2015;31414
15/04/2015;24835
15/07/2015;31533
15/10/2015;22991
15/01/2016;11406
15/04/2016;11559
15/07/2016;14672
15/10/2016;17939
15/01/2017;24618
15/04/2017;22683
15/07/2017;18854
15/10/2017;24541
15/01/2018;28103
15/04/2018;37431
15/07/2018;48021
15/10/2018;47514
15/01/2019;34764
15/04/2019;44034
15/07/2019;55571
15/10/2019;48448
15/01/2020;47505
15/04/2020;38502
15/07/2020;50503
15/10/2020;57788
15/01/2021;79773
15/04/2021;108496
15/07/2021;121233
15/10/2021;99996
15/01/2022;95665
15/04/2022;117269
