Data;CN_Br_IndTransf
15/01/2008;90223
15/04/2008;109762
15/07/2008;126929
15/10/2008;107064
15/01/2009;87133
15/04/2009;106722
15/07/2009;116573
15/10/2009;124849
15/01/2010;107286
15/04/2010;122207
15/07/2010;132753
15/10/2010;132105
15/01/2011;119608
15/04/2011;129068
15/07/2011;134761
15/10/2011;132267
15/01/2012;118697
15/04/2012;126118
15/07/2012;136395
15/10/2012;132810
15/01/2013;128209
15/04/2013;142292
15/07/2013;148787
15/10/2013;139445
15/01/2014;134164
15/04/2014;143422
15/07/2014;167173
15/10/2014;152617
15/01/2015;146142
15/04/2015;155322
15/07/2015;166931
15/10/2015;162418
15/01/2016;149038
15/04/2016;170091
15/07/2016;180574
15/10/2016;176535
15/01/2017;158106
15/04/2017;173249
15/07/2017;191239
15/10/2017;183469
15/01/2018;170515
15/04/2018;180981
15/07/2018;194769
15/10/2018;191162
15/01/2019;172309
15/04/2019;196614
15/07/2019;204795
15/10/2019;189764
15/01/2020;164868
15/04/2020;171566
15/07/2020;200541
15/10/2020;184653
15/01/2021;180873
15/04/2021;207281
15/07/2021;234373
15/10/2021;214638
15/01/2022;210372
15/04/2022;257624
