Data;CN_Br_Info
15/01/2008;25927
15/04/2008;27409
15/07/2008;27850
15/10/2008;33449
15/01/2009;27653
15/04/2009;29510
15/07/2009;30772
15/10/2009;34238
15/01/2010;29054
15/04/2010;30237
15/07/2010;32101
15/10/2010;35150
15/01/2011;30700
15/04/2011;33427
15/07/2011;34621
15/10/2011;38258
15/01/2012;34634
15/04/2012;35242
15/07/2012;37087
15/10/2012;41488
15/01/2013;36226
15/04/2013;38770
15/07/2013;39101
15/10/2013;43412
15/01/2014;39682
15/04/2014;40729
15/07/2014;42333
15/10/2014;45866
15/01/2015;42879
15/04/2015;43003
15/07/2015;42690
15/10/2015;47432
15/01/2016;42576
15/04/2016;43800
15/07/2016;45095
15/10/2016;47558
15/01/2017;46193
15/04/2017;46949
15/07/2017;48732
15/10/2017;52634
15/01/2018;48130
15/04/2018;50713
15/07/2018;51015
15/10/2018;56236
15/01/2019;50761
15/04/2019;53285
15/07/2019;55296
15/10/2019;59534
15/01/2020;53202
15/04/2020;54991
15/07/2020;55218
15/10/2020;62907
15/01/2021;56901
15/04/2021;61568
15/07/2021;63779
15/10/2021;72187
15/01/2022;61570
15/04/2022;67426
