Data;CN_Br_Servi
15/01/2008;405964
15/04/2008;431586
15/07/2008;448852
15/10/2008;480117
15/01/2009;453119
15/04/2009;475784
15/07/2009;500473
15/10/2009;541953
15/01/2010;516585
15/04/2010;540506
15/07/2010;562515
15/10/2010;619144
15/01/2011;578819
15/04/2011;621996
15/07/2011;633878
15/10/2011;684710
15/01/2012;659567
15/04/2012;688921
15/07/2012;710283
15/10/2012;769112
15/01/2013;731039
15/04/2013;782556
15/07/2013;803744
15/10/2013;864506
15/01/2014;831460
15/04/2014;867584
15/07/2014;893395
15/10/2014;947226
15/01/2015;892859
15/04/2015;917893
15/07/2015;929429
15/10/2015;995666
15/01/2016;937686
15/04/2016;972922
15/07/2016;988851
15/10/2016;1062988
15/01/2017;991681
15/04/2017;1037837
15/07/2017;1039349
15/10/2017;1102288
15/01/2018;1045287
15/04/2018;1078255
15/07/2018;1099348
15/10/2018;1165439
15/01/2019;1103306
15/04/2019;1147732
15/07/2019;1169834
15/10/2019;1239294
15/01/2020;1141626
15/04/2020;1108473
15/07/2020;1160795
15/10/2020;1278412
15/01/2021;1196853
15/04/2021;1252444
15/07/2021;1301908
15/10/2021;1402787
15/01/2022;1319365
15/04/2022;1428462
