Data;CN_Br_Transp
15/01/2008;24698
15/04/2008;25858
15/07/2008;27144
15/10/2008;26812
15/01/2009;25773
15/04/2009;26530
15/07/2009;27593
15/10/2009;29506
15/01/2010;32669
15/04/2010;34923
15/07/2010;34982
15/10/2010;39085
15/01/2011;38455
15/04/2011;40716
15/07/2011;42375
15/10/2011;44011
15/01/2012;41967
15/04/2012;43558
15/07/2012;48152
15/10/2012;49385
15/01/2013;45165
15/04/2013;50057
15/07/2013;53658
15/10/2013;54540
15/01/2014;53158
15/04/2014;56293
15/07/2014;60376
15/10/2014;57930
15/01/2015;56295
15/04/2015;55381
15/07/2015;57449
15/10/2015;57376
15/01/2016;55984
15/04/2016;57856
15/07/2016;61782
15/10/2016;60358
15/01/2017;58346
15/04/2017;61350
15/07/2017;63147
15/10/2017;63232
15/01/2018;62208
15/04/2018;63414
15/07/2018;70629
15/10/2018;68414
15/01/2019;68170
15/04/2019;69278
15/07/2019;74621
15/10/2019;72402
15/01/2020;67956
15/04/2020;61982
15/07/2020;69250
15/10/2020;76260
15/01/2021;70726
15/04/2021;68378
15/07/2021;72513
15/10/2021;71565
15/01/2022;65370
15/04/2022;66584
