Data;CN_Br_VAprecos
15/01/2008;599663
15/04/2008;651488
15/07/2008;687743
15/10/2008;687584
15/01/2009;647106
15/04/2009;689724
15/07/2009;731387
15/10/2009;781546
15/01/2010;753060
15/04/2010;802015
15/07/2010;849929
15/10/2010;897836
15/01/2011;861194
15/04/2011;926222
15/07/2011;945813
15/10/2011;987231
15/01/2012;962009
15/04/2012;1008373
15/07/2012;1042216
15/10/2012;1081661
15/01/2013;1061256
15/04/2013;1129824
15/07/2013;1163577
15/10/2013;1199103
15/01/2014;1188869
15/04/2014;1226177
15/07/2014;1267673
15/10/2014;1290015
15/01/2015;1249981
15/04/2015;1273666
15/07/2015;1297695
15/10/2015;1334259
15/01/2016;1287459
15/04/2016;1347877
15/07/2016;1368072
15/10/2016;1416414
15/01/2017;1371364
15/04/2017;1414758
15/07/2017;1421259
15/10/2017;1464546
15/01/2018;1441943
15/04/2018;1493221
15/07/2018;1514187
15/10/2018;1561799
15/01/2019;1509085
15/04/2019;1579349
15/07/2019;1622268
15/10/2019;1645983
15/01/2020;1584423
15/04/2020;1547355
15/07/2020;1619225
15/10/2020;1700278
15/01/2021;1764422
15/04/2021;1842918
15/07/2021;1880924
15/10/2021;1900646
15/01/2022;1913916
15/04/2022;2071776
