Data;Formação bruta de capital fixo
15/01/2008;132371
15/01/2008;147733
15/07/2008;168886
15/10/2008;153856
15/01/2009;134945
15/01/2009;147362
15/07/2009;172382
15/10/2009;181988
15/01/2010;177984
15/01/2010;193393
15/07/2010;214814
15/10/2010;211755
15/01/2011;209987
15/01/2011;220962
15/07/2011;237137
15/10/2011;233842
15/01/2012;233275
15/01/2012;244239
15/07/2012;259597
15/10/2012;260349
15/01/2013;256607
15/01/2013;279535
15/07/2013;291365
15/10/2013;287437
15/01/2014;287395
15/01/2014;282407
15/07/2014;289656
15/10/2014;288994
15/01/2015;277310
15/01/2015;267005
15/07/2015;270304
15/10/2015;254778
15/01/2016;240643
15/01/2016;247832
15/07/2016;246622
15/10/2016;238174
15/01/2017;230601
15/01/2017;233288
15/07/2017;245491
15/10/2017;249398
15/01/2018;245083
15/01/2018;252633
15/07/2018;285425
15/10/2018;274268
15/01/2019;265073
15/01/2019;282226
15/07/2019;308633
15/10/2019;287252
15/01/2020;299395
15/01/2020;260389
15/07/2020;309954
15/10/2020;370429
15/01/2021;407304
15/01/2021;397317
15/07/2021;430491
15/10/2021;428661
15/01/2022;420044
15/01/2022;448635
