Data;Variação de estoque
15/01/2008;23504
15/01/2008;25906
15/07/2008;17305
15/10/2008;2760
15/01/2009;2750
15/01/2009;-3884
15/07/2009;-8458
15/10/2009;-601
15/01/2010;12769
15/01/2010;15269
15/07/2010;19071
15/10/2010;2111
15/01/2011;17803
15/01/2011;24041
15/07/2011;12050
15/10/2011;-620
15/01/2012;24963
15/01/2012;19679
15/07/2012;11259
15/10/2012;-22173
15/01/2013;31764
15/01/2013;15104
15/07/2013;17267
15/10/2013;-22451
15/01/2014;26687
15/01/2014;9822
15/07/2014;20313
15/10/2014;-17792
15/01/2015;24848
15/01/2015;-723
15/07/2015;-2491
15/10/2015;-47067
15/01/2016;745
15/01/2016;-3077
15/07/2016;2956
15/10/2016;-35406
15/01/2017;26472
15/01/2017;-2961
15/07/2017;8201
15/10/2017;-27326
15/01/2018;32059
15/01/2018;16965
15/07/2018;3461
15/10/2018;-52616
15/01/2019;19568
15/01/2019;2315
15/07/2019;20982
15/10/2019;-39494
15/01/2020;44050
15/01/2020;-15898
15/07/2020;-11624
15/10/2020;-67058
15/01/2021;95731
15/01/2021;-22312
15/07/2021;-11000
15/10/2021;-84055
15/01/2022;29889
15/01/2022;-34456
